X,R1_short,R1_open,R3_short,R2_open,R3_open,R4_open,R2_short,R4_short,M1_G-D short,M1_G-S short,M1_D-S short,M1-open,R1_redundant_short,R1_redundant_open,R3_redundant_short,R3_redundant_open,R4_redundant_open,R4_redundant_short,M1_redundant_G-D short,M1_redundant_G-S short,M1_redundant_D-S short,M1_redundant_Transistor-open,M1_switchG-D short,M1_switchD-S short,M1_switch-open
1.31,0.6658724858171198,0.666738936718211,0.6751997408956252,0.6733336814377582,0.6945015738335304,0.7211413680285464,0.6653654090693488,0.689195801587277,0.7224644913149595,0.6714170345240065,0.6807348509797663,0.6733336814377582,0.6673824743986084,0.6807409096175565,0.6658724858171198,0.666738936718211,0.6751997408956252,0.6733336814377582,0.8056904028854981,0.7657591062990117,1.1318964228232098,0.689195801587277,0.7224644913149595,0.9455732068626357,1.0187695907965513
1.311,0.6664639720151423,0.6673311987241438,0.6757995199054921,0.6739318012438578,0.6951184857542804,0.7217819447568568,0.6659559961063481,0.6898080495755206,0.7231062245974877,0.6720134176877367,0.6813395792413767,0.6739318012438578,0.6679752730849774,0.6813456361977623,0.6664639720151423,0.6673311987241438,0.6757995199054921,0.6739318012438578,0.8064060644406317,0.7664392631320637,1.132901948493191,0.6898080495755206,0.7231062245974877,0.9464131817660036,1.0196745081841083
1.3120000000000003,0.6670554585548051,0.6679234610652732,0.6763992992630459,0.674529921394577,0.6957353980310598,0.7224225218549193,0.6665465834644897,0.6904202979207896,0.7237479582501744,0.6726098011934573,0.6819443078540594,0.674529921394577,0.6685680721047844,0.6819503631285933,0.6670554585548051,0.6679234610652732,0.6763992992630459,0.674529921394577,0.8071217264081864,0.7671194203550803,1.1339074747471727,0.6904202979207896,0.7237479582501744,0.9472531571560766,1.0205794260925447
1.3130000000000002,0.6676469454332368,0.6685157237387742,0.6769990789653654,0.6751280418870177,0.6963523106608753,0.723063099319626,0.6671371711410573,0.6910325466200865,0.7243896922699078,0.6732061850382904,0.6825490368148652,0.6751280418870177,0.669160871455218,0.6825550904071026,0.6676469454332368,0.6685157237387742,0.6769990789653654,0.6751280418870177,0.807837388784694,0.7677995779647814,1.1349130015802484,0.6910325466200865,0.7243896922699078,0.9480931330287643,1.0214843445174793
1.314,0.66823843264759,0.6691079867418475,0.6775988590095547,0.6757261627183074,0.6969692236407597,0.7237036771478951,0.6677277591333585,0.6916447956704389,0.7250314266536027,0.6738025692193845,0.68315376612087,0.6757261627183074,0.6697536711334904,0.6831598180303702,0.66823843264759,0.6691079867418475,0.6775988590095547,0.6757261627183074,0.8085530515667178,0.7684797359579145,1.1359185289875549,0.6916447956704389,0.7250314266536027,0.9489331093800123,1.022389263454571
1.315,0.6688299201950422,0.6697002500717154,0.6781986393927412,0.6763242838855975,0.6975861369677713,0.7243442553366711,0.6683183474387229,0.6922570450688998,0.7256731613982002,0.6743989537339111,0.683758495769174,0.6763242838855975,0.6703464711368381,0.6837645459954991,0.6688299201950422,0.6697002500717154,0.6781986393927412,0.6763242838855975,0.8092687147508484,0.769159894331255,1.136924056964268,0.6922570450688998,0.7256731613982002,0.9497730862058001,1.0232941828995141
1.3160000000000003,0.6694214080727932,0.6702925137256256,0.6787984201120776,0.6769224053860631,0.6982030506389918,0.7249848338829243,0.6689089360545032,0.6928692948125467,0.7263148965006668,0.674995338579066,0.6843632257569021,0.6769224053860631,0.6709392714625201,0.6843692742996181,0.6694214080727932,0.6702925137256256,0.6787984201120776,0.6769224053860631,0.8099843783337056,0.7698400530816047,1.1379295855056053,0.6928692948125467,0.7263148965006668,0.9506130635021408,1.0241991028480384
1.3170000000000002,0.670012896278067,0.6708847777008473,0.6793982011647396,0.6775205272169033,0.698819964651528,0.7256254127836493,0.6694995249780739,0.6934815448984809,0.7269566319579936,0.6755917237520673,0.6849679560812029,0.6775205272169033,0.6715320721078186,0.6849740029398785,0.670012896278067,0.6708847777008473,0.6793982011647396,0.6775205272169033,0.8107000423119374,0.7705202122057925,1.1389351146068238,0.6934815448984809,0.7269566319579936,0.9514530412650803,1.0251040232959097
1.318,0.6706043848081111,0.6714770419946737,0.6799979825479269,0.6781186493753399,0.6994368790025113,0.7262659920358671,0.6700901142068318,0.6940937953238291,0.7275983677671988,0.6761881092501577,0.6855726867392491,0.6781186493753399,0.6721248730700391,0.6855787319134565,0.6706043848081111,0.6714770419946737,0.6799979825479269,0.6781186493753399,0.8114157066822202,0.771200371700674,1.13994064426322,0.6940937953238291,0.7275983677671988,0.9522930194906987,1.0260089442389295
1.319,0.6711958736601961,0.6720693066044202,0.6805977642588626,0.6787167718586198,0.7000537936890968,0.7269065716366233,0.6706807037381967,0.6947060460857419,0.7282401039253239,0.676784495070603,0.6861774177282369,0.6787167718586198,0.6727176743465095,0.6861834612175518,0.6711958736601961,0.6720693066044202,0.6805977642588626,0.6787167718586198,0.8121313714412581,0.7718805315631314,1.1409461744701317,0.6947060460857419,0.7282401039253239,0.9531329981751088,1.026913865672936
