X,R1_open Y,R1_short Y,R2_open Y,R2_short Y,R3_open Y,R3_short Y,M1_G-S_short Y,M1_open Y,M1_G-D_short Y,M1_D-S_short Y,M2_D-S_short Y,M2_G-D_short Y,M2_G-S_short Y,M2_open Y,M3_open Y,M3_D-S_short Y,M3_G-D_short Y,M3_G-S_short Y
-1.568,-0.83907,0.606469982960544,0.99992,-0.83907,-31.482144900052656,0.9999999999999993,0.5502252190873094,0.606469982960544,-0.8572294057316342,-0.83907,0.99992,-0.7731249668698864,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999985,0.99992
-1.567,-0.83907,0.606469982971411,0.99992,-0.83907,-31.482144900053324,0.9999999999999993,0.5502526729105739,0.606469982971411,-0.8572285288772026,-0.83907,0.99992,-0.7731247868390044,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999985,0.99992
-1.566,-0.83907,0.6064699829822779,0.99992,-0.83907,-31.482144900054,0.9999999999999993,0.5502801243789008,0.6064699829822779,-0.8572276465545585,-0.83907,0.99992,-0.7731246063729585,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999984,0.99992
-1.565,-0.83907,0.6064699829931449,0.99992,-0.83907,-31.482144900054685,0.9999999999999993,0.5503075734924607,0.6064699829931449,-0.8572267587296082,-0.83907,0.99992,-0.7731244254707067,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999984,0.99992
-1.564,-0.83907,0.606469983004012,0.99992,-0.83907,-31.482144900055378,0.9999999999999993,0.5503350202514525,0.606469983004012,-0.8572258653680449,-0.83907,0.99992,-0.7731242441312045,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999984,0.99992
-1.563,-0.83907,0.606469983014879,0.99992,-0.83907,-31.48214490005608,0.9999999999999993,0.5503624646560752,0.606469983014879,-0.8572249664353482,-0.83907,0.99992,-0.7731240623534051,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999984,0.99992
-1.562,-0.83907,0.606469983025746,0.99992,-0.83907,-31.48214490005679,0.9999999999999993,0.5503899067065561,0.606469983025746,-0.8572240618967827,-0.83907,0.99992,-0.7731238801362593,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999984,0.99992
-1.561,-0.83907,0.6064699830366129,0.99992,-0.83907,-31.482144900057513,0.9999999999999993,0.5504173464030941,0.6064699830366129,-0.8572231517173963,-0.83907,0.99992,-0.7731236974787152,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999983,0.99992
-1.56,-0.83907,0.6064699830474799,0.99992,-0.83907,-31.48214490005824,0.9999999999999993,0.5504447837458883,0.6064699830474799,-0.8572222358620192,-0.83907,0.99992,-0.7731235143797186,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999983,0.99992
-1.559,-0.83907,0.606469983058347,0.99992,-0.83907,-31.48214490005898,0.9999999999999993,0.5504722187351376,0.606469983058347,-0.8572213142952622,-0.83907,0.99992,-0.7731233308382128,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999982,0.99992
-1.558,-0.83907,0.606469983069214,0.99992,-0.83907,-31.482144900059726,0.9999999999999993,0.5504996513710125,0.606469983069214,-0.8572203869815159,-0.83907,0.99992,-0.7731231468531387,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999982,0.99992
-1.557,-0.83907,0.6064699830800809,0.99992,-0.83907,-31.482144900060486,0.9999999999999993,0.5505270816537688,0.6064699830800809,-0.8572194538849488,-0.83907,0.99992,-0.7731229624234344,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999982,0.99992
-1.556,-0.83907,0.6064699830909479,0.99992,-0.83907,-31.482144900061254,0.9999999999999993,0.5505545095835487,0.6064699830909479,-0.8572185149695057,-0.83907,0.99992,-0.7731227775480358,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.6804169999999982,0.99992
-1.555,-0.83907,0.606469983101815,0.99992,-0.83907,-31.48214490006203,0.9999999999999993,0.5505819351606362,0.606469983101815,-0.8572175701989075,-0.83907,0.99992,-0.7731225922258763,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.680416999999998,0.99992
-1.554,-0.83907,0.606469983112682,0.99992,-0.83907,-31.482144900062817,0.9999999999999993,0.5506093583851452,0.606469983112682,-0.8572166195366482,-0.83907,0.99992,-0.7731224064558867,-0.83907,-0.83907,0.9999999999999993,-1.0000000000000007,-0.680416999999998,0.99992
