X,robust_vout,R-open_(Vt shift),R_Short,G-D short,G-S short,D-S short
-1.714,2.02E-15,1.01E-11,1.01E-20,2.02E-15,-1.714,1
-1.713,2.05E-15,1.03E-11,1.03E-20,2.05E-15,-1.713,1
-1.712,2.08E-15,1.04E-11,1.04E-20,2.08E-15,-1.712,1
-1.711,2.11E-15,1.06E-11,1.06E-20,2.11E-15,-1.711,1
-1.71,2.14E-15,1.07E-11,1.07E-20,2.14E-15,-1.71,1
-1.709,2.17E-15,1.08E-11,1.08E-20,2.17E-15,-1.709,1
-1.708,2.20E-15,1.10E-11,1.10E-20,2.20E-15,-1.708,1
-1.707,2.23E-15,1.11E-11,1.11E-20,2.23E-15,-1.707,1
-1.706,2.26E-15,1.13E-11,1.13E-20,2.26E-15,-1.706,1
-1.705,2.29E-15,1.14E-11,1.14E-20,2.29E-15,-1.705,1
-1.704,2.32E-15,1.16E-11,1.16E-20,2.32E-15,-1.704,1
-1.703,2.34E-15,1.17E-11,1.17E-20,2.34E-15,-1.703,1
-1.702,2.37E-15,1.19E-11,1.19E-20,2.37E-15,-1.702,1
-1.701,2.40E-15,1.20E-11,1.20E-20,2.40E-15,-1.701,1
-1.7,2.43E-15,1.22E-11,1.22E-20,2.43E-15,-1.7,1
-1.699,2.46E-15,1.23E-11,1.23E-20,2.46E-15,-1.699,1
-1.698,2.49E-15,1.25E-11,1.25E-20,2.49E-15,-1.698,1
-1.697,2.52E-15,1.26E-11,1.26E-20,2.52E-15,-1.697,1
-1.696,2.55E-15,1.27E-11,1.27E-20,2.55E-15,-1.696,1
-1.695,2.58E-15,1.29E-11,1.29E-20,2.58E-15,-1.695,1
-1.694,2.61E-15,1.30E-11,1.30E-20,2.61E-15,-1.694,1
-1.693,2.64E-15,1.32E-11,1.32E-20,2.64E-15,-1.693,1
-1.692,2.67E-15,1.33E-11,1.33E-20,2.67E-15,-1.692,1
-1.691,2.69E-15,1.35E-11,1.35E-20,2.69E-15,-1.691,1
-1.69,2.72E-15,1.36E-11,1.36E-20,2.72E-15,-1.69,1
-1.689,2.75E-15,1.38E-11,1.38E-20,2.75E-15,-1.689,1
-1.688,2.78E-15,1.39E-11,1.39E-20,2.78E-15,-1.688,1
-1.687,2.81E-15,1.41E-11,1.41E-20,2.81E-15,-1.687,1
-1.686,2.84E-15,1.42E-11,1.42E-20,2.84E-15,-1.686,1
-1.685,2.87E-15,1.43E-11,1.43E-20,2.87E-15,-1.685,1
-1.684,2.90E-15,1.45E-11,1.45E-20,2.90E-15,-1.684,1
-1.683,2.93E-15,1.46E-11,1.46E-20,2.93E-15,-1.683,1
-1.682,2.96E-15,1.48E-11,1.48E-20,2.96E-15,-1.682,1
