X,M1_G-D_short ,M1_G-S_short ,M2_G-D_short ,M2_G-S_short ,R1_open ,R1_short ,R2_short ,M1_open ,M2_open ,M1_D-S_short ,/Vout ,M2_D-S_short ,R2_open 
-1.873,0.99985,-0.906202,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.872,0.99985,-0.906203,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.871,0.99985,-0.906205,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.87,0.99985,-0.906207,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.869,0.99985,-0.906208,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.868,0.99985,-0.90621,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.867,0.99985,-0.906212,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.866,0.99985,-0.906214,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.865,0.99985,-0.906215,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.864,0.99985,-0.906217,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.863,0.99985,-0.906219,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.862,0.99985,-0.90622,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.861,0.99985,-0.906222,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.86,0.99985,-0.906224,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.859,0.99985,-0.906226,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.858,0.99985,-0.906227,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.857,0.99985,-0.906229,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.856,0.99985,-0.906231,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.855,0.99985,-0.906232,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.854,0.99985,-0.906234,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.853,0.99985,-0.906236,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.852,0.99985,-0.906238,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.851,0.99985,-0.906239,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.85,0.99985,-0.906241,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.849,0.99985,-0.906243,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.848,0.99985,-0.906244,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.847,0.99985,-0.906246,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.846,0.99985,-0.906248,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.845,0.99985,-0.90625,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.844,0.99985,-0.906251,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.843,0.99985,-0.906253,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.842,0.99985,-0.906255,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.841,0.99985,-0.906256,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.84,0.99985,-0.906258,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.839,0.99985,-0.90626,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.838,0.99985,-0.906262,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.837,0.99985,-0.906263,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
-1.836,0.99985,-0.906265,-0.605864,0.99985,0.99985,-0.910357,1,-0.910357,1,0.99985,-0.907619,-1,-31.4876
