X,R1_short,R1_open,R3_short,R2_open,R3_open,R4_open,R2_short,G-D short(output_correct),G-S short,D-S short,Transistor-open,R4_short
-1.3721569607598099,-0.020900762514756928,-0.812212101788016,-0.847313023998651,-0.010210694169033934,-0.010210694169033934,-0.010210694169033934,-0.010210694169033934,-0.02090062687131968,-0.8472982763894453,-1.3720000187044914,-1.3720000187044914,-1.3720000187044914
-1.3711572106973255,-0.020893143224451283,-0.8115169642448721,-0.8466009433512585,-0.010210908020200667,-0.010210908020200667,-0.010210908020200667,-0.010210908020200667,-0.02089300767406725,-0.846586269583133,-1.3710000183028093,-1.3710000183028093,-1.3710000183028093
-1.3701574606348412,-0.0208855238981193,-0.8108218273262676,-0.8458888643044894,-0.010211121836483504,-0.010211121836483504,-0.010211121836483504,-0.010211121836483504,-0.02088538844078861,-0.8458742643674209,-1.3700000179011271,-1.3700000179011271,-1.3700000179011271
-1.369157710572357,-0.020877904535485464,-0.8101266910370005,-0.8451767868691694,-0.01021133561761441,-0.01021133561761441,-0.01021133561761441,-0.01021133561761441,-0.020877769171208246,-0.8451622607530755,-1.3690000174994452,-1.3690000174994452,-1.3690000174994452
-1.3681579605098726,-0.02087028513627224,-0.809431555381906,-0.8444647110561971,-0.010211549363323268,-0.010211549363323268,-0.010211549363323268,-0.010211549363323268,-0.020870149865048596,-0.8444502587509364,-1.368000017097763,-1.368000017097763,-1.368000017097763
-1.367158210447388,-0.020862665700199887,-0.8087364203658558,-0.843752636876545,-0.010211763073337841,-0.010211763073337841,-0.010211763073337841,-0.010211763073337841,-0.02086253052202993,-0.8437382583719157,-1.367000016696081,-1.367000016696081,-1.367000016696081
-1.3661584603849037,-0.02085504622698656,-0.8080412859937598,-0.8430405643412595,-0.010211976747383902,-0.010211976747383902,-0.010211976747383902,-0.010211976747383902,-0.020854911141870436,-0.8430262596270004,-1.3660000162943988,-1.3660000162943988,-1.3660000162943988
-1.3651587103224192,-0.020847426716348268,-0.8073461522705649,-0.8423284934614617,-0.010212190385185033,-0.010212190385185033,-0.010212190385185033,-0.010212190385185033,-0.020847291724286086,-0.8423142625272506,-1.3650000158927167,-1.3650000158927167,-1.3650000158927167
-1.3641589602599349,-0.020839807167998867,-0.8066510192012566,-0.841616424248348,-0.010212403986462722,-0.010212403986462722,-0.010212403986462722,-0.010212403986462722,-0.020839672268990715,-0.8416022670838025,-1.3640000154910346,-1.3640000154910346,-1.3640000154910346
-1.3631592101974506,-0.020832187581649952,-0.8059558867908583,-0.8409043567131905,-0.01021261755093632,-0.01021261755093632,-0.01021261755093632,-0.01021261755093632,-0.020832052775695976,-0.8408902733078665,-1.3630000150893529,-1.3630000150893529,-1.3630000150893529
-1.3621594601349662,-0.020824567957010952,-0.805260755044432,-0.8401922908673373,-0.010212831078323013,-0.010212831078323013,-0.010212831078323013,-0.010212831078323013,-0.020824433244111304,-0.8401782812107292,-1.3620000146876707,-1.3620000146876707,-1.3620000146876707
-1.361159710072482,-0.020816948293789134,-0.8045656239670786,-0.8394802267222129,-0.010213044568337812,-0.010213044568337812,-0.010213044568337812,-0.010213044568337812,-0.020816813673943904,-0.8394662908037536,-1.3610000142859888,-1.3610000142859888,-1.3610000142859888
-1.3601599600099974,-0.020809328591689415,-0.8038704935639382,-0.8387681642893194,-0.010213258020693542,-0.010213258020693542,-0.010213258020693542,-0.010213258020693542,-0.02080919406489875,-0.8387543020983794,-1.3600000138843067,-1.3600000138843067,-1.3600000138843067
-1.359160209947513,-0.02080170885041456,-0.8031753638401908,-0.8380561035802366,-0.010213471435100815,-0.010213471435100815,-0.010213471435100815,-0.010213471435100815,-0.020801574416678563,-0.838042315106124,-1.3590000134826248,-1.3590000134826248,-1.3590000134826248
-1.3581604598850285,-0.020794089069664984,-0.8024802348010552,-0.8373440446066222,-0.010213684811268038,-0.010213684811268038,-0.010213684811268038,-0.010213684811268038,-0.020793954728983773,-0.8373303298385821,-1.3580000130809426,-1.3580000130809426,-1.3580000130809426
-1.3571607098225442,-0.02078646924913885,-0.8017851064517916,-0.8366319873802132,-0.010213898148901359,-0.010213898148901359,-0.010213898148901359,-0.010213898148901359,-0.020786335001512567,-0.8366183463074276,-1.357000012679261,-1.357000012679261,-1.357000012679261
-1.35616095976006,-0.020778849388531993,-0.8010899787976994,-0.8359199319128254,-0.010214111447704684,-0.010214111447704684,-0.010214111447704684,-0.010214111447704684,-0.020778715233960784,-0.8359063645244124,-1.3560000122775793,-1.3560000122775793,-1.3560000122775793
-1.3551612096975756,-0.020771229487537964,-0.8003948518441194,-0.8352078782163548,-0.01021432470737962,-0.01021432470737962,-0.01021432470737962,-0.01021432470737962,-0.020771095426021926,-0.8351943845013684,-1.3550000118758974,-1.3550000118758974,-1.3550000118758974
-1.3541614596350913,-0.02076360954584791,-0.7996997255964329,-0.8344958263027773,-0.010214537927625493,-0.010214537927625493,-0.010214537927625493,-0.010214537927625493,-0.02076347557738719,-0.8344824062502074,-1.3540000114742157,-1.3540000114742157,-1.3540000114742157
-1.353161709572607,-0.020755989563150654,-0.7990046000600632,-0.8337837761841503,-0.010214751108139348,-0.010214751108139348,-0.010214751108139348,-0.010214751108139348,-0.0207558556877454,-0.8337704297829219,-1.3530000110725338,-1.3530000110725338,-1.3530000110725338
-1.3521619595101224,-0.020748369539132637,-0.7983094752404746,-0.8330717278726122,-0.010214964248615826,-0.010214964248615826,-0.010214964248615826,-0.010214964248615826,-0.020748235756782953,-0.8330584551115852,-1.3520000106708518,-1.3520000106708518,-1.3520000106708518
-1.3511622094476379,-0.0207407494734779,-0.7976143511431737,-0.8323596813803832,-0.010215177348747329,-0.010215177348747329,-0.010215177348747329,-0.010215177348747329,-0.020740615784183937,-0.8323464822483522,-1.3510000102691702,-1.3510000102691702,-1.3510000102691702
-1.3501624593851536,-0.02073312936586807,-0.7969192277737096,-0.831647636719767,-0.010215390408223777,-0.010215390408223777,-0.010215390408223777,-0.010215390408223777,-0.020732995769629947,-0.8316345112054606,-1.3500000098674882,-1.3500000098674882,-1.3500000098674882
-1.3491627093226692,-0.02072550921598234,-0.7962241051376737,-0.8309355939031497,-0.01021560342673281,-0.01021560342673281,-0.01021560342673281,-0.01021560342673281,-0.020725375712800174,-0.8309225419952303,-1.3490000094658066,-1.3490000094658066,-1.3490000094658066
-1.348162959260185,-0.020717889023497416,-0.7955289832407001,-0.8302235529430011,-0.010215816403959624,-0.010215816403959624,-0.010215816403959624,-0.010215816403959624,-0.020717755613371358,-0.8302105746300643,-1.3480000090641249,-1.3480000090641249,-1.3480000090641249
-1.3471632091977006,-0.020710268788087578,-0.7948338620884668,-0.8295115138518753,-0.01021602933958697,-0.01021602933958697,-0.01021602933958697,-0.01021602933958697,-0.020710135471017785,-0.8294986091224501,-1.3470000086624434,-1.3470000086624434,-1.3470000086624434
-1.3461634591352163,-0.020702648509424604,-0.7941387416866951,-0.8287994766424113,-0.010216242233295203,-0.010216242233295203,-0.010216242233295203,-0.010216242233295203,-0.0207025152854112,-0.828786645484959,-1.3460000082607617,-1.3460000082607617,-1.3460000082607617
-1.3451637090727318,-0.02069502818717776,-0.7934436220411498,-0.8280874413273334,-0.010216455084762214,-0.010216455084762214,-0.010216455084762214,-0.010216455084762214,-0.020694895056220873,-0.8280746837302473,-1.34500000785908,-1.34500000785908,-1.34500000785908
-1.3441639590102474,-0.020687407821013762,-0.7927485031576409,-0.8273754079194517,-0.010216667893663385,-0.010216667893663385,-0.010216667893663385,-0.010216667893663385,-0.020687274783113545,-0.8273627238710577,-1.3440000074573986,-1.3440000074573986,-1.3440000074573986
-1.343164208947763,-0.02067978741059682,-0.7920533850420222,-0.8266633764316632,-0.010216880659671666,-0.010216880659671666,-0.010216880659671666,-0.010216880659671666,-0.0206796544657534,-0.8266507659202181,-1.3430000070557166,-1.3430000070557166,-1.3430000070557166
-1.3421644588852786,-0.020672166955588545,-0.791358267700193,-0.8259513468769522,-0.010217093382457415,-0.010217093382457415,-0.010217093382457415,-0.010217093382457415,-0.020672034103802053,-0.8259388098906437,-1.3420000066540352,-1.3420000066540352,-1.3420000066540352
-1.3411647088227943,-0.020664546455647952,-0.7906631511380976,-0.8252393192683897,-0.010217306061688549,-0.010217306061688549,-0.010217306061688549,-0.010217306061688549,-0.020664413696918536,-0.8252268557953368,-1.3410000062523537,-1.3410000062523537,-1.3410000062523537
-1.34016495876031,-0.02065692591043148,-0.7899680353617261,-0.824527293619136,-0.010217518697030347,-0.010217518697030347,-0.010217518697030347,-0.010217518697030347,-0.02065679324475929,-0.8245149036473876,-1.3400000058506722,-1.3400000058506722,-1.3400000058506722
-1.3391652086978256,-0.02064930531959291,-0.7892729203771144,-0.8238152699424398,-0.010217731288145576,-0.010217731288145576,-0.010217731288145576,-0.010217731288145576,-0.0206491727469781,-0.8238029534599746,-1.3390000054489906,-1.3390000054489906,-1.3390000054489906
-1.338165458635341,-0.020641684682783407,-0.7885778061903448,-0.8231032482516395,-0.010217943834694388,-0.010217943834694388,-0.010217943834694388,-0.010217943834694388,-0.020641552203226107,-0.8230910052463656,-1.3380000050473093,-1.3380000050473093,-1.3380000050473093
-1.3371657085728568,-0.020634063999651446,-0.7878826928075467,-0.8223912285601633,-0.010218156336334303,-0.010218156336334303,-0.010218156336334303,-0.010218156336334303,-0.0206339316131518,-0.8223790590199181,-1.3370000046456278,-1.3370000046456278,-1.3370000046456278
